0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:37:55 +0530] "GET /EmployeeApprisalForm/public/styles/userPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:38:31 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:38:31 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:45:56 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:46:00 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:46:04 +0530] "GET /EmployeeApprisalForm/%7B%7Broute('dashboard.index')%7D%7D HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:46:23 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:46:27 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:46:27 +0530] "GET /EmployeeApprisalForm/public/js/index.js HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:46:27 +0530] "GET /EmployeeApprisalForm/public/styles/index.css HTTP/1.1" 200 6034
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:46:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:47:19 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:47:19 +0530] "GET /EmployeeApprisalForm/public/styles/index.css HTTP/1.1" 200 6050
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:47:38 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:47:38 +0530] "GET /EmployeeApprisalForm/public/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:47:44 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:47:44 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:48:01 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:48:01 +0530] "GET /EmployeeApprisalForm/public/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:49:05 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:49:05 +0530] "GET /EmployeeApprisalForm/public/styles/index.css HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:49:15 +0530] "GET /EmployeeApprisalForm/%7B%7Broute('dashboard.index')%7D%7D HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:50:34 +0530] "GET /EmployeeApprisalForm/ HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:50:34 +0530] "GET /EmployeeApprisalForm/public/styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:50:53 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:50:53 +0530] "GET /EmployeeApprisalForm/public/styles/adminPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:50:56 +0530] "POST /EmployeeApprisalForm/getDetails.do HTTP/1.1" 200 17431
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:51:02 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:10 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:12 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:22 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:22 +0530] "GET /EmployeeApprisalForm/public/styles/userPage.css HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:43 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:44 +0530] "GET /EmployeeApprisalForm/public/styles/userPage.css HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:45 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:46 +0530] "GET /EmployeeApprisalForm/public/styles/userPage.css HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:54:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2023:16:55:31 +0530] "POST /EmployeeApprisalForm/login.do HTTP/1.1" 200 2396
